Total_Trades,Winning_Trades,Losing_Trades,Win_Rate,Profit_Factor,Average_Win,Average_Loss,Largest_Win,Largest_Loss,Average_Trade_Duration,Total_Net_Profit,Max_Drawdown,Sharpe_Ratio,Sortino_Ratio,Expectancy,Ticker,Timeframe
23,1,22,0.043478260869565216,0.013611615245008984,0.75,-2.5045454545454713,0.75,-9.300000000000182,1.0,-343.65640000000036,-0.34365640000000713,-1.2869915567731944,-0.2450938357588499,-2.363043478260886,KOTAKBANK,5min
19,4,15,0.21052631578947367,0.0838475499092575,2.8875000000000455,-9.183333333333303,5.150000000000091,-49.25,1.0,-714.6162999999993,-0.7146162999999942,-1.0556598791133442,-0.14000374596589446,-6.642105263157862,LT,5min
28,4,24,0.14285714285714285,0.08214786615908447,5.124999999999886,-10.397916666666674,10.5,-61.34999999999991,1.0,-865.8513500000007,-0.8658513499999971,-0.9715273815708972,-0.12929122926222908,-8.180357142857165,M&M,5min
20,3,17,0.15,0.14109503948886262,26.5,-33.14411764705898,56.54999999999927,-91.39999999999964,1.0,-2462.5024000000026,-2.4625023999999973,-1.1002537851582166,-0.16198911029489751,-24.197500000000126,MARUTI,5min
37,9,28,0.24324324324324326,0.15449915110356743,0.5055555555555631,-1.0517857142857159,1.2000000000000455,-5.850000000000023,1.0,-114.73399999999998,-0.11473399999999674,-1.211219285193707,-0.18876627497203036,-0.6729729729729723,NTPC,5min
19,5,14,0.2631578947368421,0.045884923525121794,0.6299999999999273,-4.9035714285714675,1.2999999999997272,-10.199999999999818,1.0,-459.95580000000086,-0.4599557999999961,-1.3009719890139013,-0.24615425357483336,-3.4473684210526794,NESTLEIND,5min
26,9,17,0.34615384615384615,0.06954436450839403,0.161111111111113,-1.2264705882352955,0.35000000000002274,-5.650000000000034,1.0,-88.04557000000001,-0.08804557000000204,-0.9946104626716813,-0.13684848273194486,-0.7461538461538464,ONGC,5min
32,8,24,0.25,0.12359550561798327,0.3437500000000142,-0.9270833333333286,0.9000000000000341,-9.5,1.0,-90.33059999999978,-0.09033060000000113,-0.8995945529878459,-0.11505201951670119,-0.6093749999999929,POWERGRID,5min
9,2,7,0.2222222222222222,0.14565826330532866,1.3000000000000682,-2.5500000000000194,1.400000000000091,-12.400000000000091,1.0,-164.2707,-0.16427069999999366,-0.9396886262571603,-0.11239492886753123,-1.6944444444444444,RELIANCE,5min
39,17,22,0.4358974358974359,0.3034188034188027,1.879411764705885,-4.786363636363655,15.050000000000182,-20.25,1.0,-400.18355000000037,-0.4001835500000016,-1.0294461987312704,-0.15238862157620242,-1.88076923076924,SBILIFE,5min
29,9,20,0.3103448275862069,0.1311639642313806,19.638888888888484,-67.37749999999978,57.599999999998545,-189.95000000000073,1.0,-7390.4815,-7.390481499999995,-1.3997942825668863,-0.2586474903922642,-40.372413793103426,SHREECEM,5min
16,5,11,0.3125,0.5974025974025978,1.3799999999999955,-1.0499999999999958,2.8999999999999773,-2.25,1.0,-127.48524999999998,-0.1279467500000028,-1.265461814458889,-0.3308112127192742,-0.2906249999999986,SBIN,5min
31,10,21,0.3225806451612903,0.2187919463087286,1.630000000000018,-3.547619047619026,6.349999999999909,-14.049999999999955,1.0,-365.7370499999994,-0.36573704999999607,-1.1984251858066013,-0.19829356192487113,-1.877419354838689,SUNPHARMA,5min
21,8,13,0.38095238095238093,0.1120080726538794,2.0812499999998977,-11.434615384615391,6.949999999999818,-43.55000000000018,1.0,-749.4671500000009,-0.7494671499999968,-1.0512633193518517,-0.13959924276443847,-6.285714285714329,TCS,5min
34,13,21,0.38235294117647056,0.33370165745856323,1.1615384615384459,-2.1547619047618776,6.75,-5.699999999999932,1.0,-246.27784999999966,-0.2462778499999986,-1.2872690039145722,-0.24618256037885525,-0.8867647058823422,TATACONSUM,5min
31,7,24,0.22580645161290322,0.09829619921362868,1.0714285714285552,-3.1791666666666742,1.75,-13.0,1.0,-241.7205500000003,-0.2417205499999982,-1.051124752607637,-0.14221547344290414,-2.219354838709687,TATAMOTORS,5min
24,5,19,0.20833333333333334,0.239197530864203,0.31000000000000794,-0.34105263157894833,0.700000000000017,-1.0,1.0,-35.780439999999984,-0.03578044000000227,-1.3044666468713029,-0.24113633846647312,-0.20541666666666578,TATASTEEL,5min
31,8,23,0.25806451612903225,0.11308709530323553,1.549999999999983,-4.76739130434786,2.9500000000000455,-42.049999999999955,1.0,-445.3166500000009,-0.4453166500000079,-0.9415414504040418,-0.12177057247107669,-3.137096774193578,TECHM,5min
24,7,17,0.2916666666666667,0.17321767416643996,4.564285714285688,-10.849999999999989,7.349999999999909,-51.40000000000009,1.0,-743.8233000000001,-0.7438233000000036,-0.9430137705525576,-0.1157137492916408,-6.354166666666667,TITAN,5min
22,10,12,0.45454545454545453,0.5215660252156541,15.71999999999989,-25.116666666666788,81.95000000000073,-60.100000000000364,1.0,-2196.1249500000026,-2.196124949999998,-1.2119492034528156,-0.24184786805241712,-6.55454545454557,ULTRACEMCO,5min
44,10,34,0.22727272727272727,0.11006825938566563,0.6450000000000046,-1.7235294117647166,1.849999999999909,-10.5,1.0,-205.2652500000003,-0.20526524999999676,-1.1889214610962544,-0.18288436157759486,-1.18522727272728,UPL,5min
23,7,16,0.30434782608695654,0.15789473684211594,0.19285714285715422,-0.5343749999999954,0.4000000000000341,-1.5,1.0,-57.557849999999846,-0.05755784999999741,-1.323518959140893,-0.24325345954940586,-0.3130434782608629,WIPRO,5min
55,17,38,0.3090909090909091,0.19784449576597274,0.15117647058823488,-0.3418421052631589,0.410000000000025,-3.1500000000000057,1.0,-50.59587000000005,-0.05059587000000466,-1.2213921642935794,-0.19892059937876894,-0.18945454545454626,ZEEL,5min
21,8,13,0.38095238095238093,0.21593336181119308,6.318750000000023,-18.007692307692267,13.949999999999818,-89.60000000000036,1.0,-1181.4509499999995,-1.1814509499999986,-0.9877574476172217,-0.12634343926984126,-8.740476190476155,LTIM,5min
42,22,20,0.5238095238095238,0.4950276243093943,2.036363636363655,-4.525000000000023,8.299999999999955,-20.549999999999955,1.0,-280.15305,-0.2801530499999935,-1.3870352294653798,-0.294821260869927,-1.0880952380952391,ADANIPORTS,15min
34,14,20,0.4117647058823529,0.2854808590102708,4.367857142857149,-10.710000000000013,36.34999999999991,-37.80000000000018,1.0,-516.4876000000002,-0.5164875999999932,-1.1437525645398467,-0.21610039867502034,-4.5014705882353,ASIANPAINT,15min
